Rate_adj,health_event,Visit,Geography,year,age_group,month,Sex,rate_per_10k,rate_per_10kpy,count,dailyMean
Age-Adjusted Rate,Asthma,Inpatient,New York State,2012-2014,Total,9,Total,5.76,23.400,10757,119.522
Age-Adjusted Rate,Asthma,Inpatient,New York State,2012-2014,Total,Total,Total,54.08,18.026,106392,97.073
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013,0-4,Total,Total,,,5620,15.397
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013,15-19,Total,Total,,,974,2.668
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013,20-24,Total,Total,,,839,2.299
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013,25-64,Total,Total,,,14550,39.863
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013,5-14,Total,Total,,,4794,13.134
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013,65,Total,Total,,,7842,21.485
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013,Total,1,Total,1.78,20.904,3620,116.774
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013,Total,10,Total,1.64,19.314,3170,102.258
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013,Total,11,Total,1.52,18.518,2908,96.933
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013,Total,12,Total,1.60,18.889,3180,102.581
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013,Total,2,Total,1.37,17.831,2742,97.929
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013,Total,3,Total,1.61,18.916,3184,102.710
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013,Total,4,Total,1.61,19.575,3188,106.267
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013,Total,5,Total,1.76,20.671,3418,110.258
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013,Total,6,Total,1.15,14.009,2286,76.200
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013,Total,7,Total,0.94,11.085,1920,61.935
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013,Total,8,Total,0.93,10.995,1914,61.742
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013,Total,9,Total,1.63,19.869,3089,102.967
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013,Total,Total,Total,17.54,17.541,34619,94.847
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,0-4,Total,Female,,,5951,5.435
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,0-4,Total,Male,,,10554,9.638
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,0-4,Total,Total,,,16505,15.073
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,15-19,Total,Female,,,1659,1.515
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,15-19,Total,Male,,,1097,1.002
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,15-19,Total,Total,,,2756,2.517
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,20-24,Total,Female,,,1528,1.395
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,20-24,Total,Male,,,827,0.755
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,20-24,Total,Total,,,2355,2.151
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,25-64,Total,Female,,,27769,25.360
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,25-64,Total,Male,,,12797,11.687
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,25-64,Total,Total,,,40566,37.047
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,5-14,Total,Female,,,6157,5.623
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,5-14,Total,Male,,,8504,7.766
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,5-14,Total,Total,,,14661,13.389
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,65,Total,Female,,,15434,14.095
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,65,Total,Male,,,5884,5.374
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,65,Total,Total,,,21318,19.468
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,Total,1,Total,4.88,19.152,9954,107.032
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,Total,10,Total,4.60,18.059,8731,93.882
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,Total,11,Total,4.16,16.851,7858,87.311
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,Total,12,Total,4.39,17.236,8559,92.032
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,Total,2,Total,3.85,16.722,7762,92.405
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,Total,3,Total,4.73,18.547,9362,100.667
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,Total,4,Total,4.41,17.902,8837,98.189
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,Total,5,Total,4.98,19.533,9676,104.043
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,Total,6,Total,3.34,13.531,6715,74.611
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,Total,7,Total,2.63,10.326,5448,58.581
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,Total,8,Total,2.76,10.826,5624,60.473
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,Total,9,Total,5.14,20.853,9635,107.056
Age-Adjusted Rate,Asthma,Inpatient,New York State,2013-2015,Total,Total,Total,49.86,16.620,98161,89.645
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014,0-4,Total,Total,,,5720,15.671
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014,15-19,Total,Total,,,934,2.559
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014,20-24,Total,Total,,,833,2.282
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014,25-64,Total,Total,,,14212,38.937
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014,5-14,Total,Total,,,5370,14.712
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014,65,Total,Total,,,7245,19.849
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014,Total,1,Total,1.55,18.299,3170,102.258
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014,Total,10,Total,1.72,20.234,3270,105.484
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014,Total,11,Total,1.49,18.083,2864,95.467
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014,Total,12,Total,1.62,19.046,3215,103.710
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014,Total,2,Total,1.24,16.112,2496,89.143
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014,Total,3,Total,1.67,19.653,3298,106.387
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014,Total,4,Total,1.42,17.269,2863,95.433
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014,Total,5,Total,1.58,18.580,3066,98.903
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014,Total,6,Total,1.08,13.124,2191,73.033
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014,Total,7,Total,0.83,9.814,1737,56.032
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014,Total,8,Total,1.02,12.018,2037,65.710
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014,Total,9,Total,2.25,27.389,4107,136.900
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014,Total,Total,Total,17.46,17.463,34314,94.011
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,0-4,Total,Female,,,5812,5.303
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,0-4,Total,Male,,,10113,9.227
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,0-4,Total,Total,,,15925,14.530
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,15-19,Total,Female,,,1585,1.446
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,15-19,Total,Male,,,981,0.895
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,15-19,Total,Total,,,2566,2.341
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,20-24,Total,Female,,,1402,1.279
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,20-24,Total,Male,,,766,0.699
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,20-24,Total,Total,,,2168,1.978
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,25-64,Total,Female,,,23468,21.412
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,25-64,Total,Male,,,10402,9.491
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,25-64,Total,Total,,,33870,30.903
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,5-14,Total,Female,,,5897,5.380
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,5-14,Total,Male,,,8258,7.535
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,5-14,Total,Total,,,14155,12.915
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,65,Total,Female,,,11970,10.922
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,65,Total,Male,,,4222,3.852
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,65,Total,Total,,,16192,14.774
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,Total,1,Total,4.05,15.903,8135,87.473
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,Total,10,Total,4.14,16.255,7711,82.914
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,Total,11,Total,3.67,14.878,6842,76.022
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,Total,12,Total,3.85,15.106,7350,79.032
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,Total,2,Total,3.39,14.592,6794,79.929
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,Total,3,Total,4.24,16.641,8276,88.989
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,Total,4,Total,3.73,15.134,7390,82.111
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,Total,5,Total,4.29,16.847,8234,88.538
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,Total,6,Total,2.93,11.901,5851,65.011
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,Total,7,Total,2.38,9.341,4820,51.828
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,Total,8,Total,2.57,10.088,5092,54.753
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,Total,9,Total,4.54,18.421,8381,93.122
Age-Adjusted Rate,Asthma,Inpatient,New York State,2014-2016,Total,Total,Total,43.76,14.587,84876,77.442
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015,0-4,Total,Total,,,5165,14.151
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015,15-19,Total,Total,,,848,2.323
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015,20-24,Total,Total,,,683,1.871
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015,25-64,Total,Total,,,11804,32.340
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015,5-14,Total,Total,,,4497,12.321
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015,65,Total,Total,,,6231,17.071
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015,Total,1,Total,1.55,18.260,3164,102.065
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015,Total,10,Total,1.25,14.664,2291,73.903
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015,Total,11,Total,1.15,13.984,2086,69.533
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015,Total,12,Total,1.17,13.824,2164,69.806
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015,Total,2,Total,1.24,16.216,2524,90.143
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015,Total,3,Total,1.45,17.087,2880,92.903
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015,Total,4,Total,1.39,16.868,2786,92.867
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015,Total,5,Total,1.64,19.358,3192,102.968
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015,Total,6,Total,1.11,13.453,2238,74.600
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015,Total,7,Total,0.86,10.074,1791,57.774
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015,Total,8,Total,0.80,9.469,1673,53.968
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015,Total,9,Total,1.26,15.286,2439,81.300
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015,Total,Total,Total,14.87,14.867,29228,80.077
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,0-4,Total,Female,,,5293,4.829
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,0-4,Total,Male,,,9176,8.372
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,0-4,Total,Total,,,14469,13.202
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,15-19,Total,Female,,,1467,1.339
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,15-19,Total,Male,,,904,0.825
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,15-19,Total,Total,,,2371,2.163
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,20-24,Total,Female,,,1205,1.099
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,20-24,Total,Male,,,668,0.609
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,20-24,Total,Total,,,1873,1.709
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,25-64,Total,Female,,,18931,17.273
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,25-64,Total,Male,,,8102,7.392
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,25-64,Total,Total,,,27034,24.666
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,5-14,Total,Female,,,5301,4.837
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,5-14,Total,Male,,,7253,6.618
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,5-14,Total,Total,,,12554,11.454
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,65,Total,Female,,,9015,8.225
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,65,Total,Male,,,2745,2.505
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,65,Total,Total,,,11760,10.730
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,Total,1,Total,3.46,13.611,6843,73.581
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,Total,10,Total,3.38,13.294,6199,66.656
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,Total,11,Total,3.17,12.857,5788,64.311
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,Total,12,Total,3.17,12.434,5918,63.634
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,Total,2,Total,2.95,12.675,5812,68.376
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,Total,3,Total,3.55,13.926,6793,73.043
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,Total,4,Total,3.23,13.100,6249,69.433
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,Total,5,Total,3.90,15.302,7321,78.720
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,Total,6,Total,2.54,10.294,4953,55.033
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,Total,7,Total,2.02,7.937,4017,43.194
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,Total,8,Total,2.08,8.152,4075,43.817
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,Total,9,Total,3.28,13.318,6093,67.700
Age-Adjusted Rate,Asthma,Inpatient,New York State,2015-2017,Total,Total,Total,36.71,12.237,70061,63.924
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016,0-4,Total,Total,,,5040,13.770
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016,15-19,Total,Total,,,784,2.142
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016,20-24,Total,Total,,,652,1.781
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016,25-64,Total,Total,,,7854,21.459
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016,5-14,Total,Total,,,4288,11.716
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016,65,Total,Total,,,2716,7.421
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016,Total,1,Total,0.95,11.168,1801,58.097
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016,Total,10,Total,1.18,13.874,2150,69.355
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016,Total,11,Total,1.03,12.589,1892,63.067
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016,Total,12,Total,1.06,12.476,1971,63.581
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016,Total,2,Total,0.92,11.572,1774,61.172
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016,Total,3,Total,1.12,13.209,2098,67.677
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016,Total,4,Total,0.93,11.292,1741,58.033
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016,Total,5,Total,1.07,12.620,1976,63.742
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016,Total,6,Total,0.75,9.162,1422,47.400
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016,Total,7,Total,0.69,8.166,1292,41.677
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016,Total,8,Total,0.75,8.796,1382,44.581
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016,Total,9,Total,1.03,12.545,1835,61.167
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016,Total,Total,Total,11.46,11.456,21334,58.290
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,0-4,Total,Female,,,4929,4.497
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,0-4,Total,Male,,,8634,7.878
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,0-4,Total,Total,,,13563,12.375
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,15-19,Total,Female,,,1444,1.318
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,15-19,Total,Male,,,838,0.765
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,15-19,Total,Total,,,2282,2.082
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,20-24,Total,Female,,,1153,1.052
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,20-24,Total,Male,,,612,0.558
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,20-24,Total,Total,,,1765,1.610
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,25-64,Total,Female,,,15857,14.468
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,25-64,Total,Male,,,6564,5.989
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,25-64,Total,Total,,,22422,20.458
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,5-14,Total,Female,,,5116,4.668
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,5-14,Total,Male,,,6862,6.261
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,5-14,Total,Total,,,11978,10.929
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,65,Total,Female,,,6788,6.193
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,65,Total,Male,,,1723,1.572
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,65,Total,Total,,,8511,7.766
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,Total,1,Total,2.90,11.394,5576,59.957
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,Total,10,Total,3.34,13.107,6117,65.774
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,Total,11,Total,2.93,11.875,5375,59.722
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,Total,12,Total,2.90,11.411,5482,58.946
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,Total,2,Total,2.62,11.244,4988,58.682
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,Total,3,Total,3.17,12.454,5851,62.914
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,Total,4,Total,2.77,11.262,5203,57.811
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,Total,5,Total,3.26,12.814,5996,64.473
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,Total,6,Total,2.02,8.202,3837,42.633
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,Total,7,Total,1.62,6.352,3094,33.269
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,Total,8,Total,1.81,7.113,3423,36.806
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,Total,9,Total,3.10,12.598,5579,61.989
Age-Adjusted Rate,Asthma,Inpatient,New York State,2016-2018,Total,Total,Total,32.44,10.814,60521,55.220
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017,0-4,Total,Total,,,4264,11.682
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017,15-19,Total,Total,,,739,2.025
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017,20-24,Total,Total,,,538,1.474
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017,25-64,Total,Total,,,7376,20.208
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017,5-14,Total,Total,,,3769,10.326
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017,65,Total,Total,,,2813,7.707
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017,Total,1,Total,0.97,11.444,1878,60.581
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017,Total,10,Total,0.96,11.327,1758,56.710
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017,Total,11,Total,0.98,11.979,1810,60.333
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017,Total,12,Total,0.93,10.973,1783,57.516
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017,Total,2,Total,0.79,10.299,1514,54.071
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017,Total,3,Total,0.98,11.512,1815,58.548
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017,Total,4,Total,0.92,11.175,1722,57.400
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017,Total,5,Total,1.19,13.957,2153,69.452
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017,Total,6,Total,0.68,8.293,1293,43.100
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017,Total,7,Total,0.48,5.600,934,30.129
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017,Total,8,Total,0.53,6.216,1020,32.903
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017,Total,9,Total,1.00,12.140,1819,60.633
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017,Total,Total,Total,10.41,10.405,19499,53.422
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,0-4,Total,Female,,,4328,3.953
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,0-4,Total,Male,,,7747,7.075
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,0-4,Total,Total,,,12075,11.027
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,15-19,Total,Female,,,1359,1.241
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,15-19,Total,Male,,,799,0.730
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,15-19,Total,Total,,,2158,1.971
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,20-24,Total,Female,,,1084,0.990
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,20-24,Total,Male,,,573,0.523
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,20-24,Total,Total,,,1657,1.513
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,25-64,Total,Female,,,15083,13.774
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,25-64,Total,Male,,,6358,5.806
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,25-64,Total,Total,,,21442,19.582
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,5-14,Total,Female,,,4711,4.302
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,5-14,Total,Male,,,6295,5.749
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,5-14,Total,Total,,,11006,10.051
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,65,Total,Female,,,7043,6.432
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,65,Total,Male,,,1849,1.689
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,65,Total,Total,,,8893,8.121
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,Total,1,Total,,,5298,56.968
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,Total,10,Total,,,5572,59.914
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,Total,11,Total,,,5208,57.867
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,Total,12,Total,,,5226,56.194
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,Total,2,Total,,,4562,54.310
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,Total,3,Total,,,5400,58.065
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,Total,4,Total,,,5019,55.767
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,Total,5,Total,,,5988,64.387
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,Total,6,Total,,,3627,40.300
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,Total,7,Total,,,2791,30.011
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,Total,8,Total,,,2943,31.645
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,Total,9,Total,,,5597,62.189
Age-Adjusted Rate,Asthma,Inpatient,New York State,2017-2019,Total,Total,Total,,,57231,52.266
Age-Adjusted Rate,Asthma,Inpatient,New York State,2018,0-4,Total,Total,,,4259,11.668
Age-Adjusted Rate,Asthma,Inpatient,New York State,2018,15-19,Total,Total,,,759,2.079
Age-Adjusted Rate,Asthma,Inpatient,New York State,2018,20-24,Total,Total,,,575,1.575
Age-Adjusted Rate,Asthma,Inpatient,New York State,2018,25-64,Total,Total,,,7192,19.704
Age-Adjusted Rate,Asthma,Inpatient,New York State,2018,5-14,Total,Total,,,3921,10.742
Age-Adjusted Rate,Asthma,Inpatient,New York State,2018,65,Total,Total,,,2982,8.170
Age-Adjusted Rate,Asthma,Inpatient,New York State,2018,Total,1,Total,0.98,11.564,1897,61.194
Age-Adjusted Rate,Asthma,Inpatient,New York State,2018,Total,10,Total,1.20,14.120,2209,71.258
Age-Adjusted Rate,Asthma,Inpatient,New York State,2018,Total,11,Total,0.91,11.047,1673,55.767
Age-Adjusted Rate,Asthma,Inpatient,New York State,2018,Total,12,Total,0.91,10.761,1728,55.742
Age-Adjusted Rate,Asthma,Inpatient,New York State,2018,Total,2,Total,0.91,11.862,1700,60.714
Age-Adjusted Rate,Asthma,Inpatient,New York State,2018,Total,3,Total,1.07,12.648,1938,62.516
Age-Adjusted Rate,Asthma,Inpatient,New York State,2018,Total,4,Total,0.93,11.320,1740,58.000
Age-Adjusted Rate,Asthma,Inpatient,New York State,2018,Total,5,Total,1.01,11.865,1867,60.226
